CÓD. ESCOLA,DEP. ADMIN.,LOC. ESCOLA,CÓD. MUN. PROVA,NOME MUN. PROVA,CÓDIGO UF,SIGLA UF,PRESENÇA EM CN,PRESENÇA EM CH,PRESENÇA EM LC,PRESENÇA EM MT,NOTA EM CN,NOTA EM CH,NOTA EM LC,NOTA EM MT,LÍNGUA ESTRANGEIRA,STATUS REDAÇÃO,NOTA COMP. 1 RED.,NOTA COMP. 2 RED.,NOTA COMP. 3 RED.,NOTA COMP. 4 RED.,NOTA COMP. 5 RED.,NOTA FINAL REDAÇÃO
32041411.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,629.0,582.9,590.4,745.4,Inglês,Sem problemas,180.0,200.0,180.0,200.0,180.0,940.0
,,,3202306,Guaçuí,32,ES,Presente,Presente,Presente,Presente,413.0,429.4,440.3,428.0,Espanhol,Sem problemas,100.0,120.0,120.0,140.0,80.0,560.0
,,,3201506,Colatina,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32060920.0,2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,512.4,471.5,525.1,450.0,Inglês,Sem problemas,100.0,160.0,100.0,100.0,140.0,600.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32036582.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,471.1,622.1,590.5,507.6,Inglês,Sem problemas,160.0,200.0,180.0,160.0,200.0,900.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,476.8,507.9,508.3,439.7,Inglês,Sem problemas,120.0,160.0,140.0,180.0,160.0,760.0
32033826.0,2.0,1.0,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32034520.0,4.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,654.0,669.1,610.0,783.1,Inglês,Sem problemas,140.0,160.0,120.0,140.0,180.0,740.0
,,,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,472.0,365.4,529.8,391.1,Espanhol,Sem problemas,120.0,160.0,120.0,140.0,100.0,640.0
32043490.0,2.0,1.0,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,411.0,544.4,505.6,511.5,Inglês,Sem problemas,120.0,160.0,100.0,120.0,120.0,620.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,410.0,445.9,457.0,392.0,Espanhol,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,416.0,314.3,372.1,406.4,Inglês,Fuga ao tema,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,406.4,471.8,507.8,543.1,Inglês,Sem problemas,120.0,180.0,120.0,120.0,80.0,620.0
,,,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32039085.0,2.0,1.0,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32002939.0,2.0,1.0,3202108,Ecoporanga,32,ES,Presente,Presente,Presente,Presente,519.9,456.6,475.1,440.4,Espanhol,Sem problemas,80.0,100.0,80.0,60.0,20.0,340.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,605.7,571.4,559.5,665.4,Inglês,Sem problemas,160.0,200.0,180.0,180.0,200.0,920.0
,,,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,544.2,575.2,479.6,607.5,Inglês,Sem problemas,160.0,160.0,140.0,160.0,180.0,800.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32065264.0,2.0,1.0,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32039085.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,493.9,428.7,513.2,512.5,Espanhol,Sem problemas,100.0,120.0,80.0,100.0,120.0,520.0
32034652.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,495.2,358.7,457.2,484.3,Inglês,Texto insuficiente,0.0,0.0,0.0,0.0,0.0,0.0
,,,3200805,Baixo Guandu,32,ES,Presente,Presente,Presente,Presente,548.5,502.6,553.1,467.9,Inglês,Sem problemas,100.0,160.0,120.0,120.0,80.0,580.0
32079931.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,550.7,520.6,508.7,491.9,Inglês,Sem problemas,160.0,200.0,200.0,180.0,200.0,940.0
,,,3203007,Iúna,32,ES,Presente,Presente,Presente,Presente,478.9,452.9,517.9,544.7,Inglês,Sem problemas,120.0,160.0,80.0,160.0,160.0,680.0
