CÓD. ESCOLA,DEP. ADMIN.,LOC. ESCOLA,CÓD. MUN. PROVA,NOME MUN. PROVA,CÓDIGO UF,SIGLA UF,PRESENÇA EM CN,PRESENÇA EM CH,PRESENÇA EM LC,PRESENÇA EM MT,NOTA EM CN,NOTA EM CH,NOTA EM LC,NOTA EM MT,LÍNGUA ESTRANGEIRA,STATUS REDAÇÃO,NOTA COMP. 1 RED.,NOTA COMP. 2 RED.,NOTA COMP. 3 RED.,NOTA COMP. 4 RED.,NOTA COMP. 5 RED.,NOTA FINAL REDAÇÃO
32079842.0,2.0,2.0,3205010,Sooretama,32,ES,Presente,Presente,Presente,Presente,423.4,497.4,512.4,438.0,Inglês,Sem problemas,140.0,180.0,160.0,100.0,80.0,660.0
32040695.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,481.8,504.0,532.8,556.1,Inglês,Sem problemas,140.0,200.0,120.0,140.0,200.0,800.0
,,,3200904,Barra de São Francisco,32,ES,Presente,Presente,Presente,Presente,581.0,578.0,568.5,522.8,Espanhol,Sem problemas,140.0,120.0,100.0,120.0,0.0,480.0
,,,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,561.9,561.5,510.6,433.4,Inglês,Sem problemas,160.0,200.0,160.0,200.0,180.0,900.0
32039832.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,486.2,520.9,540.0,475.9,Inglês,Sem problemas,160.0,180.0,180.0,200.0,200.0,920.0
32035004.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,582.0,625.2,620.9,657.6,Inglês,Sem problemas,120.0,180.0,140.0,180.0,140.0,760.0
32063199.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,444.4,540.5,549.6,571.6,Inglês,Sem problemas,100.0,160.0,100.0,120.0,120.0,600.0
32035527.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,494.9,499.3,542.2,379.1,Inglês,Sem problemas,120.0,140.0,120.0,100.0,100.0,580.0
,,,3203908,Nova Venécia,32,ES,Presente,Presente,Presente,Presente,473.2,523.6,523.7,462.8,Inglês,Sem problemas,120.0,120.0,120.0,120.0,0.0,480.0
32064950.0,4.0,1.0,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,396.5,487.1,519.3,480.5,Inglês,Sem problemas,120.0,200.0,120.0,120.0,80.0,640.0
32017243.0,2.0,1.0,3204054,Pedro Canário,32,ES,Presente,Presente,Presente,Presente,498.8,618.8,585.5,621.3,Espanhol,Sem problemas,120.0,180.0,140.0,160.0,200.0,800.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32017243.0,2.0,1.0,3204054,Pedro Canário,32,ES,Presente,Presente,Presente,Presente,370.8,414.8,504.5,377.9,Espanhol,Sem problemas,140.0,180.0,120.0,140.0,120.0,700.0
,,,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,506.7,496.8,536.6,553.2,Espanhol,Sem problemas,120.0,120.0,100.0,120.0,80.0,540.0
32115032.0,1.0,1.0,3205069,Venda Nova do Imigrante,32,ES,Presente,Presente,Presente,Presente,555.1,546.8,556.4,576.8,Inglês,Sem problemas,120.0,180.0,120.0,120.0,140.0,680.0
32034296.0,4.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,544.4,493.9,537.8,497.6,Inglês,Sem problemas,120.0,140.0,120.0,120.0,160.0,660.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,464.8,459.1,477.3,408.0,Inglês,Sem problemas,120.0,160.0,120.0,140.0,100.0,640.0
,,,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,471.3,459.5,576.2,562.2,Espanhol,Sem problemas,140.0,160.0,120.0,180.0,160.0,760.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,382.6,506.4,559.2,448.1,Espanhol,Sem problemas,100.0,100.0,120.0,120.0,160.0,600.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,477.2,507.8,561.3,397.6,Inglês,Sem problemas,140.0,160.0,120.0,140.0,140.0,700.0
32039999.0,4.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,597.1,586.8,616.0,698.0,Inglês,Sem problemas,160.0,200.0,200.0,200.0,200.0,960.0
,,,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3204708,São Gabriel da Palha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32016158.0,2.0,1.0,3201605,Conceição da Barra,32,ES,Presente,Presente,Presente,Presente,481.2,561.9,543.8,457.4,Espanhol,Sem problemas,160.0,200.0,180.0,200.0,200.0,940.0
,,,3200607,Aracruz,32,ES,Presente,Presente,Presente,Presente,509.6,605.3,554.8,556.1,Inglês,Sem problemas,120.0,120.0,80.0,120.0,120.0,560.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,700.1,808.2,651.5,704.4,Espanhol,Sem problemas,160.0,200.0,180.0,200.0,180.0,920.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,344.4,378.8,493.4,401.6,Inglês,Sem problemas,80.0,100.0,80.0,80.0,40.0,380.0
32066333.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,512.6,493.2,479.7,505.9,Inglês,Sem problemas,100.0,160.0,120.0,120.0,160.0,660.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,522.4,567.1,545.0,491.4,Inglês,Sem problemas,120.0,120.0,80.0,80.0,60.0,460.0
,,,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,482.2,481.2,498.8,454.1,Espanhol,Sem problemas,120.0,120.0,120.0,120.0,20.0,500.0
32036582.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,417.0,432.3,461.0,506.3,Espanhol,Sem problemas,160.0,200.0,160.0,200.0,200.0,920.0
32000987.0,2.0,1.0,3200904,Barra de São Francisco,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32075979.0,1.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,405.9,522.6,553.2,583.6,Inglês,Sem problemas,120.0,180.0,120.0,160.0,160.0,740.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,539.1,387.6,538.2,436.8,Espanhol,Sem problemas,100.0,120.0,120.0,120.0,80.0,540.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,433.6,458.0,523.3,387.5,Inglês,Sem problemas,80.0,120.0,60.0,80.0,20.0,360.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3201407,Castelo,32,ES,Presente,Presente,Presente,Presente,501.2,517.9,501.7,612.4,Inglês,Sem problemas,140.0,180.0,140.0,160.0,140.0,760.0
32043686.0,2.0,1.0,3202405,Guarapari,32,ES,Presente,Presente,Presente,Presente,494.9,378.4,477.1,400.0,Espanhol,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
32063512.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,582.1,678.2,627.7,580.5,Inglês,Sem problemas,180.0,200.0,160.0,200.0,200.0,940.0
32059906.0,2.0,1.0,3202801,Itapemirim,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32040067.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,394.3,501.2,532.8,384.8,Espanhol,Sem problemas,140.0,180.0,160.0,160.0,200.0,840.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,506.4,477.8,534.6,593.6,Inglês,Sem problemas,160.0,200.0,180.0,200.0,180.0,920.0
32017391.0,2.0,1.0,3204054,Pedro Canário,32,ES,Presente,Presente,Presente,Presente,648.6,668.0,627.2,751.7,Inglês,Sem problemas,160.0,200.0,200.0,200.0,200.0,960.0
,,,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,492.9,420.4,376.7,436.7,Espanhol,Sem problemas,80.0,120.0,60.0,100.0,0.0,360.0
,,,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,464.9,437.9,506.3,507.3,Inglês,Sem problemas,80.0,160.0,100.0,120.0,100.0,560.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32033826.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,426.6,519.1,525.1,636.9,Espanhol,Sem problemas,120.0,140.0,120.0,140.0,120.0,640.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,597.4,345.8,609.1,628.3,Inglês,Sem problemas,140.0,140.0,120.0,120.0,200.0,720.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,473.2,558.3,495.0,606.9,Espanhol,Sem problemas,140.0,160.0,120.0,160.0,140.0,720.0
32038534.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,496.3,512.8,507.6,476.6,Espanhol,Sem problemas,120.0,120.0,80.0,120.0,80.0,520.0
32082193.0,4.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,655.6,745.1,651.2,721.0,Inglês,Sem problemas,160.0,200.0,180.0,200.0,200.0,940.0
32082037.0,2.0,1.0,3200102,Afonso Cláudio,32,ES,Presente,Presente,Presente,Presente,548.3,554.9,596.4,475.0,Espanhol,Sem problemas,140.0,140.0,160.0,180.0,180.0,800.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,427.5,499.5,410.7,393.6,Espanhol,Sem problemas,120.0,100.0,80.0,120.0,80.0,500.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,457.6,461.7,522.4,400.2,Inglês,Sem problemas,120.0,160.0,100.0,120.0,100.0,600.0
,,,3200607,Aracruz,32,ES,Faltou,Presente,Presente,Faltou,,452.8,503.7,,Inglês,Sem problemas,140.0,160.0,140.0,140.0,60.0,640.0
32036582.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,420.4,537.9,555.6,586.3,Inglês,Sem problemas,140.0,120.0,120.0,120.0,40.0,540.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,465.2,410.4,519.6,546.5,Espanhol,Sem problemas,120.0,140.0,100.0,120.0,60.0,540.0
32080956.0,1.0,1.0,3203502,Montanha,32,ES,Presente,Presente,Presente,Presente,587.8,633.6,588.2,625.2,Inglês,Sem problemas,160.0,160.0,160.0,200.0,200.0,880.0
,,,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32079230.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,393.8,291.8,479.8,424.5,Espanhol,Sem problemas,120.0,160.0,80.0,80.0,0.0,440.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,558.1,594.6,590.4,709.2,Inglês,Sem problemas,160.0,160.0,140.0,140.0,180.0,780.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,603.2,576.2,582.1,733.5,Inglês,Sem problemas,120.0,160.0,120.0,120.0,120.0,640.0
,,,3203130,João Neiva,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,448.8,526.0,563.9,427.8,Espanhol,Sem problemas,140.0,160.0,140.0,180.0,180.0,800.0
32043546.0,2.0,1.0,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,597.9,527.9,561.6,541.7,Inglês,Sem problemas,120.0,200.0,120.0,120.0,100.0,660.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,436.6,574.9,598.4,535.8,Inglês,Sem problemas,120.0,120.0,80.0,80.0,120.0,520.0
32019807.0,2.0,1.0,3200607,Aracruz,32,ES,Presente,Presente,Presente,Presente,563.3,628.3,593.5,442.0,Inglês,Sem problemas,140.0,180.0,160.0,200.0,140.0,820.0
,,,3201902,Domingos Martins,32,ES,Presente,Presente,Presente,Presente,549.1,469.9,549.1,628.6,Inglês,Sem problemas,140.0,160.0,120.0,160.0,180.0,760.0
32080824.0,1.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,628.9,525.2,603.8,787.5,Inglês,Sem problemas,120.0,160.0,140.0,140.0,140.0,700.0
32040334.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,444.8,485.2,473.5,480.9,Inglês,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
32035039.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,354.8,403.2,507.0,406.3,Espanhol,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
32073968.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,549.6,541.6,488.9,558.5,Espanhol,Sem problemas,120.0,120.0,120.0,120.0,140.0,620.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,582.7,672.6,575.8,722.2,Inglês,Sem problemas,160.0,200.0,180.0,180.0,200.0,920.0
32038496.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,565.1,459.8,504.3,643.7,Inglês,Sem problemas,120.0,160.0,160.0,160.0,160.0,760.0
32039417.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,443.3,430.7,493.3,410.3,Inglês,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,638.6,653.5,597.8,690.1,Inglês,Sem problemas,160.0,200.0,160.0,180.0,200.0,900.0
32046197.0,2.0,1.0,3200201,Alegre,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,572.0,601.4,580.8,654.3,Inglês,Sem problemas,160.0,180.0,140.0,180.0,200.0,860.0
32055838.0,2.0,1.0,3203403,Mimoso do Sul,32,ES,Presente,Presente,Presente,Presente,577.7,516.7,518.0,417.8,Inglês,Sem problemas,120.0,140.0,120.0,100.0,140.0,620.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,530.7,610.4,541.0,389.3,Espanhol,Sem problemas,120.0,200.0,120.0,140.0,120.0,700.0
,,,3203007,Iúna,32,ES,Presente,Presente,Presente,Presente,499.0,398.8,478.1,409.1,Inglês,Sem problemas,140.0,160.0,100.0,120.0,100.0,620.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,608.6,572.5,588.0,646.7,Inglês,Sem problemas,140.0,180.0,160.0,160.0,160.0,800.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,589.0,547.4,577.5,701.1,Inglês,Sem problemas,160.0,200.0,180.0,200.0,200.0,940.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,433.6,407.8,386.0,584.4,Espanhol,Sem problemas,160.0,160.0,120.0,120.0,140.0,700.0
,,,3204906,São Mateus,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,661.1,646.3,619.0,676.8,Inglês,Sem problemas,160.0,200.0,160.0,160.0,160.0,840.0
32022360.0,2.0,1.0,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,470.1,570.4,491.1,544.8,Inglês,Sem problemas,140.0,180.0,160.0,180.0,160.0,820.0
32039867.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,496.1,394.7,465.8,397.6,Espanhol,Sem problemas,120.0,120.0,100.0,120.0,0.0,460.0
60010914.0,2.0,1.0,3201159,Brejetuba,32,ES,Presente,Presente,Presente,Presente,512.8,494.7,542.1,587.5,Espanhol,Sem problemas,160.0,140.0,140.0,160.0,140.0,740.0
,,,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,609.4,643.3,632.4,719.3,Espanhol,Sem problemas,140.0,200.0,200.0,200.0,200.0,940.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,627.9,648.8,622.2,655.2,Inglês,Sem problemas,140.0,200.0,140.0,160.0,140.0,780.0
,,,3203320,Marataízes,32,ES,Presente,Presente,Presente,Presente,364.9,530.5,477.4,431.2,Inglês,Sem problemas,140.0,180.0,120.0,140.0,120.0,700.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,599.4,543.1,580.3,637.6,Inglês,Sem problemas,140.0,140.0,120.0,180.0,140.0,720.0
,,,3200201,Alegre,32,ES,Presente,Presente,Presente,Presente,592.1,567.0,591.3,566.6,Inglês,Sem problemas,160.0,180.0,160.0,140.0,180.0,820.0
32041411.0,4.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,500.3,548.0,493.1,610.6,Inglês,Sem problemas,140.0,140.0,120.0,160.0,120.0,680.0
32060696.0,2.0,1.0,3203320,Marataízes,32,ES,Presente,Presente,Presente,Presente,425.9,464.7,471.0,482.9,Espanhol,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32018134.0,4.0,1.0,3204054,Pedro Canário,32,ES,Presente,Presente,Presente,Presente,616.8,623.6,599.1,676.8,Inglês,Sem problemas,160.0,200.0,180.0,200.0,200.0,940.0
,,,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,602.9,631.2,605.2,736.6,Inglês,Sem problemas,180.0,120.0,120.0,140.0,200.0,760.0
32052618.0,2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,435.7,477.4,508.2,475.1,Espanhol,Sem problemas,120.0,120.0,120.0,120.0,100.0,580.0
,,,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32075979.0,1.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,441.4,455.6,448.1,592.5,Inglês,Sem problemas,120.0,140.0,120.0,120.0,80.0,580.0
32078722.0,2.0,1.0,3204906,São Mateus,32,ES,Presente,Presente,Presente,Presente,540.8,589.9,589.3,634.9,Inglês,Sem problemas,120.0,180.0,120.0,140.0,120.0,680.0
,,,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,684.7,707.9,660.1,585.6,Inglês,Sem problemas,120.0,140.0,100.0,140.0,100.0,600.0
60013527.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,373.9,503.1,520.1,388.9,Inglês,Sem problemas,120.0,180.0,100.0,120.0,140.0,660.0
32035039.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,452.9,522.9,549.8,548.1,Espanhol,Sem problemas,120.0,160.0,120.0,180.0,140.0,720.0
32052103.0,2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,438.9,604.9,543.9,630.6,Inglês,Sem problemas,160.0,160.0,180.0,200.0,200.0,900.0
,,,3205069,Venda Nova do Imigrante,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,502.9,436.7,406.0,400.2,Espanhol,Sem problemas,80.0,120.0,80.0,80.0,0.0,360.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,399.9,429.0,495.8,531.4,Espanhol,Sem problemas,160.0,140.0,120.0,160.0,140.0,720.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,449.0,552.9,547.5,549.2,Espanhol,Sem problemas,100.0,120.0,120.0,120.0,20.0,480.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,535.0,588.2,609.1,642.6,Inglês,Sem problemas,160.0,180.0,140.0,160.0,200.0,840.0
32079338.0,2.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,588.9,459.1,558.0,574.2,Inglês,Sem problemas,180.0,200.0,160.0,180.0,180.0,900.0
32102070.0,1.0,1.0,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,603.2,624.9,596.8,687.8,Inglês,Sem problemas,160.0,200.0,180.0,180.0,200.0,920.0
32079230.0,2.0,1.0,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32049536.0,2.0,1.0,3200201,Alegre,32,ES,Presente,Presente,Presente,Presente,454.4,448.2,481.4,445.3,Inglês,Sem problemas,80.0,120.0,100.0,100.0,180.0,580.0
,,,3200904,Barra de São Francisco,32,ES,Presente,Presente,Presente,Presente,531.0,581.5,495.7,427.6,Espanhol,Sem problemas,140.0,180.0,120.0,160.0,140.0,740.0
32059868.0,2.0,2.0,3203320,Marataízes,32,ES,Presente,Presente,Presente,Presente,472.7,599.9,539.1,622.4,Inglês,Sem problemas,100.0,140.0,100.0,120.0,140.0,600.0
32035217.0,4.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,567.7,497.7,580.4,418.5,Inglês,Sem problemas,80.0,100.0,60.0,100.0,120.0,460.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,420.9,454.4,506.1,605.7,Inglês,Sem problemas,160.0,180.0,140.0,140.0,160.0,780.0
,,,3205069,Venda Nova do Imigrante,32,ES,Presente,Presente,Presente,Presente,652.2,675.2,622.8,774.3,Espanhol,Sem problemas,160.0,180.0,180.0,200.0,200.0,920.0
,,,3200201,Alegre,32,ES,Presente,Presente,Presente,Presente,656.1,580.3,596.3,712.7,Espanhol,Sem problemas,160.0,200.0,180.0,160.0,160.0,860.0
32016158.0,2.0,1.0,3201605,Conceição da Barra,32,ES,Presente,Presente,Presente,Presente,353.7,458.8,469.6,411.1,Inglês,Sem problemas,60.0,100.0,40.0,80.0,40.0,320.0
32035519.0,2.0,1.0,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,449.2,503.6,504.8,418.3,Espanhol,Sem problemas,140.0,180.0,120.0,180.0,140.0,760.0
,,,3202405,Guarapari,32,ES,Presente,Presente,Presente,Presente,529.4,492.4,547.1,528.2,Inglês,Sem problemas,160.0,200.0,180.0,140.0,160.0,840.0
32041411.0,4.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,596.8,688.3,639.3,738.5,Inglês,Sem problemas,160.0,200.0,180.0,200.0,160.0,900.0
,,,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,492.6,530.1,552.0,451.6,Espanhol,Sem problemas,120.0,180.0,120.0,120.0,140.0,680.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,625.6,537.5,604.3,715.0,Inglês,Sem problemas,140.0,200.0,180.0,200.0,200.0,920.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,543.8,608.9,574.3,466.8,Inglês,Sem problemas,160.0,200.0,140.0,160.0,160.0,820.0
32034016.0,2.0,1.0,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,543.0,525.4,520.3,503.6,Inglês,Sem problemas,120.0,120.0,120.0,120.0,160.0,640.0
,,,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,395.4,487.3,513.0,482.2,Inglês,Sem problemas,160.0,200.0,160.0,200.0,200.0,920.0
,,,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
32038500.0,2.0,1.0,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32065051.0,2.0,1.0,3205101,Viana,32,ES,Presente,Presente,Presente,Presente,415.7,375.9,391.0,416.8,Inglês,Em Branco,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32037163.0,2.0,1.0,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32038330.0,4.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,580.3,559.2,550.1,569.3,Inglês,Sem problemas,120.0,140.0,120.0,140.0,100.0,620.0
32013272.0,2.0,1.0,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,354.9,385.4,466.4,493.3,Espanhol,Sem problemas,100.0,160.0,120.0,120.0,120.0,620.0
,,,3204708,São Gabriel da Palha,32,ES,Presente,Presente,Presente,Presente,611.2,540.8,559.4,612.1,Inglês,Sem problemas,120.0,200.0,100.0,120.0,200.0,740.0
32074425.0,2.0,1.0,3205002,Serra,32,ES,Faltou,Presente,Presente,Faltou,,521.4,543.6,,Espanhol,Texto insuficiente,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,538.3,512.4,541.9,507.8,Inglês,Sem problemas,100.0,120.0,120.0,120.0,80.0,540.0
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,397.3,502.6,504.5,405.8,Espanhol,Sem problemas,120.0,160.0,80.0,120.0,80.0,560.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,510.6,578.8,537.7,471.9,Inglês,Sem problemas,120.0,120.0,80.0,120.0,0.0,440.0
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,551.9,505.9,521.5,519.3,Espanhol,Sem problemas,120.0,120.0,100.0,80.0,60.0,480.0
,,,3205309,Vitória,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3203007,Iúna,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3203908,Nova Venécia,32,ES,Presente,Presente,Presente,Presente,426.3,467.9,492.9,434.2,Inglês,Sem problemas,120.0,120.0,100.0,120.0,80.0,540.0
32006349.0,2.0,1.0,3203908,Nova Venécia,32,ES,Presente,Presente,Presente,Presente,465.4,531.6,542.9,494.2,Espanhol,Sem problemas,140.0,120.0,140.0,160.0,100.0,660.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,545.6,574.6,570.3,546.0,Espanhol,Sem problemas,140.0,120.0,100.0,120.0,120.0,600.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,462.1,579.9,548.2,629.8,Espanhol,Sem problemas,100.0,160.0,100.0,140.0,160.0,660.0
32052618.0,2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,420.5,510.0,496.4,581.6,Inglês,Sem problemas,160.0,160.0,140.0,140.0,160.0,760.0
